chlorophyll,sst,ssh,salinity,month,location,fish_name
2.32,31.62,0.49,36.44,9,Chennai,Kingfish
2.78,27.49,0.29,33.39,4,Gujarat,Pomfret
2.44,29.09,0.24,35.16,11,Goa,Mackerel
3.46,27.34,0.55,30.76,1,Mangalore,Bombay Duck
1.3,12.99,0.45,34.9,8,Visakhapatnam,Cod
3.68,25.87,0.5,32.17,1,Mumbai,Sardine
2.98,26.1,0.69,34.04,6,Mumbai,Pomfret
2.64,31.11,0.65,36.84,3,Gujarat,Kingfish
2.86,28.01,0.57,30.0,5,Kochi,Bombay Duck
2.08,27.91,0.53,33.7,9,Mumbai,Pomfret
2.97,27.07,0.27,34.37,5,Chennai,Mackerel
2.45,28.88,0.3,34.87,8,Kochi,Mackerel
2.92,28.86,0.69,34.9,4,Chennai,Pomfret
3.19,27.76,0.3,30.23,8,Mangalore,Hilsa
3.7,25.3,0.57,34.1,3,Visakhapatnam,Croakers
4.05,14.29,0.46,30.02,1,Kochi,Herring
2.86,28.26,0.49,34.41,11,Mangalore,Pomfret
5.21,26.1,0.61,31.64,8,Visakhapatnam,Anchovy
2.44,27.99,0.48,33.17,4,Kochi,Mackerel
3.36,26.27,0.65,31.98,12,Goa,Sardine
3.71,26.55,0.68,32.54,5,Gujarat,Sardine
3.35,28.76,0.67,30.57,6,Mangalore,Bombay Duck
3.95,26.59,0.26,32.36,1,Gujarat,Anchovy
2.7,16.22,0.38,30.87,4,Chennai,Salmon
4.11,25.87,0.58,31.03,4,Mangalore,Sardine
5.32,24.24,0.31,32.97,11,Goa,Anchovy
1.01,14.72,0.24,31.03,4,Mangalore,Cod
3.15,26.55,0.43,32.08,1,Chennai,Croakers
1.29,24.75,0.64,36.34,1,Mumbai,Shark
4.1,26.3,0.56,33.86,3,Mangalore,Bombay Duck
2.12,27.78,0.26,34.05,3,Mumbai,Ribbonfish
2.89,29.57,0.43,35.64,9,Gujarat,Kingfish
2.09,27.23,0.51,35.96,8,Chennai,Grouper
2.11,30.78,0.33,34.36,4,Kochi,Ribbonfish
1.03,14.8,0.5,33.89,4,Mumbai,Cod
2.19,22.33,0.68,29.56,8,Mumbai,Catfish
2.36,26.02,0.26,35.67,12,Kochi,Mackerel
2.87,26.73,0.33,32.3,5,Mumbai,Pomfret
1.7,27.45,0.22,36.52,8,Mumbai,Barracuda
2.53,29.39,0.4,36.0,12,Gujarat,Ribbonfish
2.83,25.09,0.24,30.56,9,Gujarat,Catfish
2.25,28.57,0.25,36.19,5,Chennai,Barracuda
2.39,29.38,0.6,34.07,1,Mangalore,Barracuda
2.27,13.17,0.43,30.09,12,Goa,Salmon
1.68,30.09,0.28,36.31,10,Mumbai,Tuna
0.95,20.79,0.44,35.44,10,Gujarat,Shark
3.07,26.53,0.68,31.1,10,Visakhapatnam,Bombay Duck
4.75,27.04,0.3,32.53,2,Goa,Hilsa
4.39,10.45,0.54,33.37,12,Goa,Herring
0.94,11.71,0.68,31.5,10,Mangalore,Cod
2.03,29.32,0.52,34.96,7,Mangalore,Barracuda
2.06,29.99,0.62,36.74,8,Mangalore,Tuna
2.15,17.5,0.49,30.3,7,Gujarat,Salmon
1.4,13.06,0.6,31.65,5,Kochi,Salmon
1.86,27.63,0.57,34.27,7,Visakhapatnam,Ribbonfish
2.29,15.03,0.33,33.56,12,Kochi,Salmon
4.13,28.33,0.27,32.81,3,Goa,Hilsa
3.57,25.63,0.33,31.48,6,Mangalore,Sardine
1.18,29.41,0.52,35.3,3,Mumbai,Barracuda
2.64,25.41,0.29,33.21,3,Gujarat,Snapper
2.43,27.55,0.5,33.6,6,Chennai,Snapper
1.21,13.29,0.63,32.85,12,Visakhapatnam,Salmon
1.77,29.16,0.52,36.7,3,Mumbai,Tuna
3.33,23.01,0.66,31.83,12,Gujarat,Catfish
3.32,27.15,0.59,32.74,9,Chennai,Croakers
2.07,28.61,0.4,35.95,12,Kochi,Ribbonfish
3.11,28.04,0.49,33.07,1,Goa,Mackerel
4.31,24.59,0.31,32.03,2,Mumbai,Sardine
2.75,22.06,0.33,28.56,12,Chennai,Catfish
2.3,31.66,0.29,34.03,3,Kochi,Kingfish
2.26,26.01,0.63,34.28,9,Chennai,Croakers
2.94,24.48,0.23,35.82,7,Mangalore,Grouper
2.56,28.05,0.48,33.72,6,Mumbai,Grouper
4.22,10.61,0.59,32.27,9,Mangalore,Herring
3.53,26.87,0.39,32.93,9,Kochi,Croakers
1.98,17.84,0.38,31.44,12,Mumbai,Salmon
1.97,30.13,0.25,35.17,8,Chennai,Seer Fish
2.12,31.15,0.57,36.78,10,Mangalore,Tuna
2.84,27.73,0.39,34.63,11,Gujarat,Kingfish
4.13,27.64,0.31,31.98,7,Kochi,Hilsa
2.06,29.36,0.41,36.33,7,Goa,Tuna
2.54,26.27,0.31,35.31,1,Visakhapatnam,Mackerel
2.96,29.79,0.69,36.67,8,Mumbai,Kingfish
5.0,25.28,0.37,32.61,10,Mumbai,Hilsa
2.95,28.25,0.46,36.38,9,Visakhapatnam,Kingfish
3.14,27.78,0.52,29.82,1,Mumbai,Tilapia
2.37,27.74,0.59,35.22,12,Kochi,Barracuda
2.05,26.08,0.5,33.24,3,Kochi,Grouper
1.86,23.22,0.57,35.34,7,Goa,Shark
3.01,26.78,0.39,34.96,7,Goa,Mackerel
3.83,16.64,0.59,32.77,8,Goa,Herring
2.21,27.47,0.69,35.2,8,Visakhapatnam,Grouper
2.74,26.84,0.22,32.97,4,Kochi,Bombay Duck
2.37,31.91,0.42,35.6,5,Chennai,Tuna
3.65,26.32,0.38,33.59,1,Visakhapatnam,Sardine
3.74,15.14,0.35,32.11,11,Chennai,Herring
4.63,27.52,0.58,32.44,11,Goa,Hilsa
3.42,25.98,0.41,29.88,4,Mumbai,Hilsa
1.81,27.59,0.67,35.67,6,Mumbai,Seer Fish
1.66,26.8,0.65,35.2,1,Visakhapatnam,Grouper
2.59,23.19,0.46,29.18,4,Visakhapatnam,Tilapia
1.88,17.6,0.32,33.0,10,Goa,Salmon
4.44,25.46,0.29,28.54,3,Goa,Catfish
4.1,28.28,0.24,30.35,7,Gujarat,Bombay Duck
2.47,17.82,0.28,32.45,12,Gujarat,Salmon
1.63,12.89,0.45,33.27,1,Goa,Salmon
2.58,16.11,0.55,31.88,6,Kochi,Herring
1.21,25.38,0.51,36.29,2,Kochi,Shark
2.72,26.23,0.29,34.78,12,Mangalore,Pomfret
1.54,23.22,0.37,36.52,10,Mangalore,Shark
1.75,20.42,0.68,35.35,10,Mumbai,Shark
3.04,25.18,0.52,30.61,2,Chennai,Hilsa
3.48,27.25,0.27,31.34,4,Mumbai,Croakers
1.96,29.42,0.51,35.47,3,Chennai,Seer Fish
2.52,27.8,0.3,35.81,3,Mangalore,Seer Fish
2.97,27.35,0.45,34.45,10,Mangalore,Ribbonfish
4.86,27.85,0.25,32.4,7,Gujarat,Hilsa
3.68,27.15,0.56,34.46,2,Chennai,Croakers
3.64,26.07,0.34,27.2,1,Visakhapatnam,Tilapia
1.84,9.79,0.61,34.72,3,Chennai,Cod
1.93,27.94,0.32,34.94,10,Goa,Barracuda
1.81,27.8,0.62,36.29,2,Goa,Kingfish
2.65,10.65,0.45,31.23,10,Gujarat,Herring
1.84,30.56,0.53,36.4,2,Kochi,Tuna
3.92,24.59,0.47,28.94,6,Kochi,Tilapia
1.58,29.94,0.34,35.49,8,Mumbai,Barracuda
3.63,22.39,0.52,28.24,8,Kochi,Tilapia
3.65,27.48,0.5,28.7,10,Kochi,Tilapia
1.57,28.42,0.23,36.45,4,Kochi,Tuna
2.08,17.63,0.26,31.31,12,Mangalore,Salmon
2.12,24.01,0.27,35.13,5,Visakhapatnam,Grouper
2.62,23.0,0.42,30.66,8,Mangalore,Catfish
2.78,27.53,0.5,34.64,4,Gujarat,Pomfret
2.19,30.94,0.27,35.96,1,Gujarat,Seer Fish
2.62,26.13,0.6,32.48,5,Goa,Pomfret
1.8,21.02,0.26,35.67,2,Kochi,Shark
2.77,25.19,0.51,34.35,9,Goa,Grouper
1.93,30.79,0.38,36.03,10,Mangalore,Seer Fish
4.15,26.3,0.24,33.33,2,Gujarat,Bombay Duck
2.12,24.15,0.6,29.2,12,Chennai,Catfish
2.59,26.14,0.68,33.96,12,Kochi,Grouper
1.59,30.45,0.44,34.38,4,Mangalore,Barracuda
3.39,26.02,0.69,33.75,3,Kochi,Bombay Duck
3.97,11.98,0.29,32.5,10,Mangalore,Herring
4.81,26.56,0.47,30.69,1,Gujarat,Anchovy
3.51,24.99,0.28,32.99,9,Chennai,Anchovy
2.76,31.57,0.26,35.15,3,Mumbai,Kingfish
1.56,13.2,0.27,33.9,3,Chennai,Cod
2.47,30.24,0.22,36.34,1,Gujarat,Seer Fish
2.0,29.0,0.59,36.3,3,Visakhapatnam,Tuna
1.97,28.76,0.48,36.36,6,Gujarat,Tuna
3.18,27.5,0.35,31.4,12,Kochi,Croakers
4.15,15.97,0.52,33.63,9,Gujarat,Herring
1.98,30.83,0.54,36.48,2,Mumbai,Tuna
3.35,26.77,0.23,33.21,6,Mumbai,Croakers
2.72,10.81,0.22,33.41,4,Goa,Herring
4.52,25.33,0.55,31.94,12,Visakhapatnam,Anchovy
4.28,26.32,0.57,28.4,11,Goa,Catfish
4.62,28.44,0.44,30.83,1,Mangalore,Hilsa
2.97,28.03,0.46,33.95,8,Goa,Grouper
2.74,14.71,0.7,33.98,10,Gujarat,Herring
2.6,26.38,0.63,34.53,9,Chennai,Mackerel
2.8,31.08,0.47,34.32,7,Visakhapatnam,Kingfish
3.42,24.62,0.24,34.68,9,Mangalore,Croakers
3.64,26.3,0.53,33.37,9,Visakhapatnam,Croakers
2.22,27.21,0.62,34.41,6,Goa,Pomfret
3.55,24.95,0.23,27.64,4,Mumbai,Tilapia
1.97,28.54,0.31,32.22,2,Goa,Pomfret
1.73,29.87,0.3,36.28,4,Mangalore,Barracuda
2.41,28.46,0.43,33.48,3,Goa,Pomfret
3.36,24.31,0.45,28.18,6,Visakhapatnam,Catfish
2.58,23.53,0.45,28.25,6,Kochi,Tilapia
3.54,24.47,0.52,32.74,9,Chennai,Sardine
3.76,25.89,0.68,28.98,5,Visakhapatnam,Tilapia
2.23,26.31,0.48,34.3,11,Mumbai,Snapper
3.82,26.85,0.51,29.71,2,Kochi,Hilsa
3.72,27.09,0.32,31.55,8,Gujarat,Sardine
4.96,25.67,0.27,30.42,2,Kochi,Hilsa
1.58,13.65,0.24,33.21,3,Chennai,Salmon
2.31,22.66,0.46,29.34,7,Mumbai,Catfish
2.31,24.19,0.31,34.79,1,Gujarat,Grouper
2.28,25.46,0.47,33.4,8,Gujarat,Grouper
2.73,30.8,0.2,35.11,9,Goa,Ribbonfish
3.98,24.69,0.39,33.43,3,Chennai,Sardine
2.22,30.99,0.62,36.8,3,Gujarat,Seer Fish
2.78,26.4,0.36,34.44,7,Mangalore,Mackerel
3.26,24.4,0.55,30.43,1,Visakhapatnam,Catfish
1.85,27.49,0.31,35.49,12,Gujarat,Seer Fish
5.25,23.58,0.27,31.42,3,Visakhapatnam,Anchovy
3.12,25.65,0.46,28.84,4,Visakhapatnam,Tilapia
2.31,15.19,0.35,30.57,11,Chennai,Salmon
4.61,23.05,0.41,32.7,7,Mumbai,Anchovy
3.3,28.51,0.51,31.24,12,Kochi,Bombay Duck
2.61,26.26,0.33,33.57,1,Mangalore,Bombay Duck
2.64,27.49,0.62,33.89,6,Goa,Bombay Duck
2.29,26.88,0.37,34.05,7,Visakhapatnam,Grouper
4.18,25.2,0.23,29.7,7,Visakhapatnam,Hilsa
1.84,28.93,0.65,34.4,1,Gujarat,Seer Fish
3.11,26.09,0.48,33.55,3,Mangalore,Croakers
3.15,26.71,0.57,32.05,9,Visakhapatnam,Hilsa
2.22,28.85,0.35,34.13,9,Chennai,Mackerel
1.25,28.35,0.36,36.99,12,Gujarat,Barracuda
1.71,29.62,0.35,34.26,3,Mumbai,Snapper
1.1,28.41,0.39,35.24,8,Kochi,Barracuda
2.46,31.65,0.43,36.02,5,Mangalore,Tuna
3.34,12.25,0.63,30.1,11,Mangalore,Herring
2.74,25.45,0.21,33.27,2,Goa,Snapper
1.11,14.59,0.51,32.07,11,Kochi,Cod
4.2,26.63,0.22,29.6,10,Chennai,Hilsa
3.81,11.98,0.26,31.75,1,Mangalore,Herring
3.13,28.71,0.63,35.13,9,Visakhapatnam,Mackerel
1.97,31.37,0.58,35.98,1,Visakhapatnam,Kingfish
1.73,26.23,0.48,35.82,7,Visakhapatnam,Grouper
2.16,31.08,0.32,36.39,10,Kochi,Kingfish
2.72,27.84,0.58,36.8,3,Gujarat,Seer Fish
2.14,28.5,0.26,35.56,1,Gujarat,Seer Fish
4.66,27.11,0.65,31.48,11,Kochi,Sardine
3.45,27.72,0.39,31.96,2,Mumbai,Hilsa
2.79,15.27,0.37,32.12,7,Mangalore,Salmon
2.25,27.97,0.31,34.71,9,Goa,Barracuda
1.87,21.68,0.56,35.56,12,Goa,Shark
4.39,22.07,0.44,31.86,4,Chennai,Catfish
2.82,16.32,0.36,32.15,8,Chennai,Herring
3.29,27.3,0.21,33.89,4,Gujarat,Croakers
2.85,27.4,0.4,35.92,11,Mumbai,Grouper
2.34,29.01,0.32,36.18,11,Mangalore,Barracuda
3.36,25.98,0.63,31.24,5,Goa,Croakers
3.01,28.72,0.47,33.86,3,Kochi,Mackerel
1.78,30.67,0.4,34.68,9,Gujarat,Barracuda
1.8,10.11,0.69,33.37,1,Mumbai,Cod
2.64,29.24,0.23,34.06,1,Visakhapatnam,Ribbonfish
4.12,24.62,0.64,31.99,7,Visakhapatnam,Catfish
2.39,28.01,0.29,35.95,10,Kochi,Snapper
5.32,24.67,0.62,31.86,10,Visakhapatnam,Anchovy
2.14,28.34,0.48,35.0,6,Goa,Tuna
1.97,30.21,0.5,36.02,8,Goa,Barracuda
1.91,29.23,0.62,35.98,9,Kochi,Tuna
4.17,25.06,0.23,32.44,6,Gujarat,Sardine
1.52,27.03,0.59,34.34,1,Goa,Grouper
4.68,27.86,0.56,33.79,10,Chennai,Sardine
2.79,10.49,0.5,31.47,8,Gujarat,Herring
2.36,30.18,0.21,35.97,6,Goa,Seer Fish
2.59,29.85,0.62,35.67,4,Chennai,Seer Fish
0.83,25.55,0.21,35.67,8,Chennai,Shark
3.52,24.19,0.52,27.87,6,Visakhapatnam,Tilapia
2.2,25.54,0.36,34.1,11,Chennai,Grouper
2.21,25.24,0.37,35.13,3,Goa,Snapper
3.07,26.45,0.44,31.9,1,Mumbai,Sardine
3.44,27.05,0.42,33.56,10,Visakhapatnam,Croakers
2.74,27.35,0.33,34.15,5,Chennai,Snapper
2.09,28.58,0.23,34.78,4,Chennai,Snapper
2.13,30.49,0.48,34.55,6,Mangalore,Seer Fish
2.52,29.15,0.41,35.25,11,Kochi,Seer Fish
3.33,27.94,0.63,32.36,5,Goa,Sardine
3.96,27.92,0.69,30.37,3,Chennai,Tilapia
1.12,26.54,0.51,34.62,4,Gujarat,Barracuda
2.22,28.43,0.48,35.78,7,Mumbai,Seer Fish
4.64,24.69,0.58,32.43,6,Mangalore,Hilsa
3.53,28.43,0.34,33.02,3,Visakhapatnam,Bombay Duck
2.62,27.71,0.3,34.79,12,Goa,Seer Fish
2.23,31.74,0.38,36.64,5,Kochi,Tuna
3.8,26.75,0.67,31.4,5,Gujarat,Anchovy
3.18,25.93,0.47,33.43,2,Mangalore,Sardine
1.4,24.97,0.64,36.96,7,Visakhapatnam,Shark
2.84,28.67,0.66,30.9,10,Goa,Bombay Duck
2.76,25.5,0.37,31.14,4,Chennai,Croakers
3.56,27.46,0.56,32.24,3,Chennai,Croakers
2.04,29.14,0.67,33.4,1,Mangalore,Snapper
4.07,28.93,0.25,33.61,3,Mumbai,Bombay Duck
1.96,26.59,0.31,34.73,1,Mumbai,Pomfret
3.93,22.72,0.5,29.76,2,Kochi,Tilapia
4.46,15.27,0.68,30.12,10,Gujarat,Herring
3.53,28.65,0.28,29.63,9,Chennai,Hilsa
2.98,30.49,0.54,35.35,12,Goa,Ribbonfish
4.55,24.11,0.43,31.33,3,Goa,Anchovy
1.98,12.67,0.43,34.97,7,Chennai,Cod
1.9,26.58,0.37,32.95,6,Gujarat,Pomfret
2.1,27.6,0.42,34.86,4,Mangalore,Mackerel
4.11,27.03,0.24,31.02,2,Kochi,Sardine
1.67,27.56,0.45,34.14,7,Visakhapatnam,Grouper
1.68,28.51,0.48,35.4,6,Mangalore,Barracuda
2.77,26.88,0.22,33.53,10,Kochi,Pomfret
2.9,25.94,0.22,30.0,8,Gujarat,Tilapia
2.5,25.78,0.33,34.35,8,Gujarat,Pomfret
1.75,28.22,0.26,36.77,6,Gujarat,Tuna
1.75,16.57,0.45,32.28,6,Chennai,Salmon
1.82,30.95,0.45,34.9,10,Kochi,Kingfish
2.19,28.24,0.34,35.41,12,Visakhapatnam,Grouper
3.69,12.66,0.64,33.71,10,Gujarat,Herring
3.44,26.88,0.67,33.21,10,Mangalore,Bombay Duck
2.96,27.56,0.26,34.1,11,Goa,Ribbonfish
1.8,27.6,0.48,35.92,9,Kochi,Seer Fish
1.57,12.89,0.61,31.2,1,Gujarat,Salmon
2.72,22.75,0.63,29.64,3,Mangalore,Catfish
2.12,27.69,0.6,34.23,7,Goa,Pomfret
1.85,27.83,0.53,36.87,11,Gujarat,Seer Fish
2.64,28.25,0.4,34.76,3,Visakhapatnam,Grouper
4.58,25.2,0.61,32.12,6,Mangalore,Anchovy
1.52,29.98,0.45,35.74,2,Chennai,Snapper
1.18,21.32,0.47,36.18,1,Gujarat,Shark
3.6,12.25,0.26,31.67,11,Chennai,Herring
3.05,28.25,0.44,30.01,10,Goa,Hilsa
1.85,30.81,0.43,35.78,5,Mangalore,Tuna
1.89,23.54,0.33,36.49,12,Chennai,Shark
4.39,27.23,0.23,32.08,12,Chennai,Sardine
2.05,31.49,0.21,35.73,11,Mangalore,Kingfish
2.43,30.98,0.45,34.65,1,Kochi,Barracuda
1.56,28.74,0.29,35.6,12,Mangalore,Ribbonfish
2.64,15.23,0.26,32.33,8,Visakhapatnam,Salmon
1.85,29.87,0.58,35.96,8,Chennai,Tuna
3.13,26.09,0.67,27.08,7,Kochi,Tilapia
2.99,17.95,0.6,31.24,12,Kochi,Herring
2.37,27.08,0.49,35.83,9,Chennai,Kingfish
2.5,28.47,0.45,32.44,7,Goa,Pomfret
3.37,27.17,0.45,27.41,7,Chennai,Tilapia
1.23,9.78,0.47,32.76,1,Gujarat,Cod
1.53,29.18,0.45,35.68,9,Chennai,Snapper
3.74,24.08,0.34,30.76,10,Kochi,Catfish
1.99,15.04,0.68,33.31,6,Mangalore,Salmon
1.08,12.79,0.38,32.61,10,Mumbai,Cod
4.16,26.88,0.24,29.51,5,Goa,Tilapia
3.68,23.16,0.6,30.31,8,Mumbai,Tilapia
3.33,26.21,0.63,34.94,4,Gujarat,Croakers
1.77,30.53,0.68,36.25,6,Mangalore,Barracuda
4.43,25.75,0.37,31.39,3,Kochi,Anchovy
2.28,26.38,0.28,34.63,4,Visakhapatnam,Mackerel
2.7,29.98,0.2,35.92,9,Kochi,Ribbonfish
1.9,14.78,0.55,33.79,4,Kochi,Cod
4.27,25.75,0.6,30.33,4,Mumbai,Anchovy
2.37,27.43,0.51,33.92,10,Gujarat,Grouper
4.79,25.09,0.5,31.13,2,Kochi,Anchovy
3.52,15.13,0.38,31.25,7,Chennai,Herring
4.11,25.7,0.52,31.86,5,Mangalore,Catfish
1.9,29.47,0.64,35.06,8,Mangalore,Tuna
2.81,28.72,0.24,32.74,9,Mangalore,Pomfret
2.6,12.72,0.4,33.12,12,Chennai,Salmon
4.65,26.66,0.64,33.16,11,Chennai,Sardine
4.36,26.83,0.6,30.55,5,Goa,Tilapia
0.86,12.46,0.45,31.76,11,Visakhapatnam,Cod
2.18,28.62,0.41,35.1,8,Gujarat,Tuna
2.22,27.74,0.5,35.47,6,Kochi,Ribbonfish
2.25,28.38,0.67,34.2,9,Visakhapatnam,Ribbonfish
2.37,26.25,0.51,36.11,1,Gujarat,Barracuda
2.45,14.79,0.54,31.45,6,Gujarat,Salmon
2.01,31.02,0.69,35.18,7,Gujarat,Tuna
1.92,23.28,0.66,35.02,11,Kochi,Shark
5.12,26.0,0.21,32.58,10,Visakhapatnam,Anchovy
3.09,24.9,0.46,31.28,8,Kochi,Sardine
1.69,20.32,0.41,36.93,7,Goa,Shark
2.78,22.5,0.24,30.95,9,Mumbai,Tilapia
2.42,29.62,0.31,36.36,4,Goa,Kingfish
2.41,28.23,0.32,34.56,5,Mumbai,Pomfret
3.17,28.78,0.47,33.59,5,Goa,Mackerel
1.94,29.03,0.31,36.07,7,Visakhapatnam,Seer Fish
2.2,31.03,0.29,35.35,4,Mumbai,Tuna
1.95,27.46,0.46,32.25,3,Kochi,Pomfret
1.42,29.7,0.53,36.97,7,Mangalore,Barracuda
3.3,24.55,0.52,33.78,11,Goa,Sardine
2.82,12.74,0.38,31.56,2,Gujarat,Herring
3.13,26.66,0.47,34.88,5,Goa,Grouper
2.92,29.01,0.41,33.49,1,Visakhapatnam,Mackerel
2.62,28.28,0.55,34.58,7,Gujarat,Snapper
3.7,28.87,0.34,30.76,12,Visakhapatnam,Bombay Duck
2.08,12.28,0.29,32.55,9,Kochi,Salmon
3.12,24.79,0.52,32.3,2,Mangalore,Sardine
1.27,21.94,0.63,36.99,10,Gujarat,Shark
4.35,12.23,0.4,30.18,8,Goa,Herring
1.74,14.27,0.23,34.11,1,Mangalore,Cod
3.7,25.35,0.65,33.99,10,Chennai,Croakers
2.86,27.74,0.28,34.58,4,Mangalore,Kingfish
3.02,27.62,0.59,30.56,6,Mumbai,Bombay Duck
2.61,29.18,0.51,34.47,9,Kochi,Snapper
1.73,29.42,0.23,36.18,8,Mumbai,Tuna
1.38,29.65,0.53,35.39,1,Kochi,Barracuda
2.41,13.19,0.61,30.51,3,Gujarat,Salmon
2.57,26.81,0.54,32.91,10,Chennai,Pomfret
1.37,23.74,0.54,35.69,4,Visakhapatnam,Shark
5.43,24.89,0.45,31.21,9,Chennai,Anchovy
2.68,25.16,0.36,35.08,5,Mangalore,Grouper
2.96,25.07,0.68,35.94,8,Gujarat,Grouper
2.2,29.06,0.51,36.01,3,Goa,Tuna
3.94,25.89,0.64,31.23,11,Kochi,Sardine
2.78,27.68,0.21,33.19,11,Gujarat,Mackerel
1.98,27.09,0.31,36.28,11,Kochi,Kingfish
4.86,26.38,0.43,32.87,9,Visakhapatnam,Anchovy
3.08,26.39,0.26,34.0,7,Visakhapatnam,Mackerel
3.89,14.42,0.39,32.23,1,Gujarat,Herring
2.86,25.69,0.53,34.96,6,Gujarat,Snapper
3.74,25.17,0.54,27.04,2,Gujarat,Tilapia
3.36,27.23,0.59,34.0,4,Visakhapatnam,Mackerel
2.48,25.9,0.51,33.14,6,Goa,Croakers
2.9,24.62,0.45,31.79,6,Chennai,Croakers
2.21,27.5,0.36,35.89,2,Mumbai,Mackerel
2.7,27.58,0.35,33.2,10,Mumbai,Pomfret
2.38,29.8,0.67,34.85,10,Gujarat,Mackerel
1.9,26.75,0.66,34.6,9,Chennai,Pomfret
1.84,21.14,0.28,36.17,8,Mumbai,Shark
2.34,26.48,0.44,35.67,10,Chennai,Mackerel
2.4,28.63,0.55,36.67,7,Gujarat,Tuna
3.36,26.73,0.31,30.89,3,Chennai,Bombay Duck
2.31,13.84,0.26,32.58,8,Kochi,Salmon
3.4,26.4,0.34,28.74,8,Goa,Catfish
3.78,26.64,0.35,32.91,1,Mumbai,Bombay Duck
1.76,12.09,0.29,33.29,3,Kochi,Salmon
4.17,27.41,0.66,30.27,6,Chennai,Bombay Duck
2.48,25.02,0.48,30.61,11,Chennai,Catfish
2.72,27.94,0.22,35.84,6,Chennai,Mackerel
3.44,11.96,0.65,32.66,7,Mangalore,Herring
2.09,30.07,0.6,36.79,12,Mangalore,Tuna
3.77,26.18,0.47,32.34,10,Chennai,Sardine
3.22,27.27,0.7,32.38,8,Kochi,Bombay Duck
2.25,26.54,0.37,33.12,8,Visakhapatnam,Grouper
1.57,25.54,0.47,35.58,8,Mangalore,Shark
4.59,25.51,0.58,31.61,6,Kochi,Sardine
1.88,27.36,0.68,35.14,5,Chennai,Seer Fish
2.86,28.89,0.59,34.28,2,Chennai,Kingfish
4.14,25.49,0.22,30.69,1,Mumbai,Catfish
3.16,25.53,0.69,33.27,5,Chennai,Sardine
1.24,9.61,0.46,31.61,1,Kochi,Cod
4.43,25.89,0.48,27.66,4,Goa,Tilapia
2.39,15.52,0.26,33.19,7,Chennai,Salmon
2.07,29.07,0.47,36.68,5,Kochi,Kingfish
2.77,23.92,0.35,29.51,9,Chennai,Tilapia
4.56,27.23,0.63,30.29,7,Mangalore,Hilsa
2.57,23.02,0.33,29.37,6,Mumbai,Catfish
2.54,26.53,0.55,34.13,3,Goa,Croakers
3.05,28.67,0.65,34.91,10,Kochi,Mackerel
1.98,28.72,0.5,33.22,11,Goa,Pomfret
1.74,27.15,0.49,34.28,7,Kochi,Grouper
1.73,30.52,0.34,35.74,10,Chennai,Ribbonfish
3.71,24.29,0.57,32.16,8,Gujarat,Anchovy
3.95,28.83,0.65,31.94,1,Chennai,Hilsa
2.22,27.93,0.31,36.45,10,Visakhapatnam,Barracuda
2.23,31.95,0.54,35.53,9,Kochi,Tuna
3.74,23.13,0.58,30.54,5,Mangalore,Anchovy
3.8,25.45,0.47,30.47,10,Visakhapatnam,Anchovy
1.1,23.98,0.63,36.74,12,Mumbai,Shark
2.07,30.86,0.2,35.69,4,Kochi,Ribbonfish
2.62,28.23,0.25,33.59,1,Goa,Mackerel
3.28,12.26,0.6,32.67,2,Chennai,Herring
